subid,keep_drop,reason_drop,consent,consent-vid,dob,age_group,sex,hispanic_latino,Race,English,lang1,lang2,lang3,parent1_ed,parent2_ed,preemie,comment,dot,age
180321_2,keep,NA,Y,Y,6/20/12,5,F,N,White,100,NA,NA,NA,four year college,four year college,N,"she and her mom walked in and wanted to play, so I let her. However, she is too old",3/21/18,5.75
180321_3,keep,NA,Y,Y,7/11/12,5,F,N,Asian,90-95,Vietnamese,NA,NA,four year college,four year college,N,"she was a walk in and really wanted to play so I let her, only to find out she was too old.",3/21/18,5.70
180321_4,keep,NA,Y,N (sharing),10/30/14,3,M,Y,White,90-95,NA,NA,NA,graduate degree,four year college,N,"really enthusiastic. Did well, but had to remind a few times not to touch before hearing the whole prompt",3/21/18,3.39
180321_5,keep,NA,Y,Y,2/27/14,4,F,N,European/Indian,100,NA,NA,NA,graduate degree,graduate degree,N,paid really close attention to the game,3/21/18,4.06
180321_6,keep,NA,Y,Y,3/19/15,3,F,N,White/Other(Iranian),100,Farsi,NA,NA,four year college,some college,N,really hyper. Did well in the beginning but had to keep reminding her constantly not to touch the choices before she heard the prompt,3/21/18,3.01
180322_1,keep,NA,Y,Y,"7/2/18 (I think this is the wrong year, the mom said she is 2.5 years old)",2,F,N,Asian,25,Mandarin,NA,NA,some graduate school,some graduate school,N,"really attentive, mom said they barely speak English at home though",3/22/18,NA
180322_2,keep,NA,Y,Y,8/11/15,2,M,N,White,100,NA,NA,NA,graduate degree,high school,N,"at the end, he was ""being silly"" with some of the easier choices by choosing the opposite one. But with all the ones with the same objects on both plates/houses, etc, he was eally thoughtful with his choice",3/22/18,2.61
180322_3 and 180322_3b,keep,NA,Y,Y,1/22/15,3,F,N,White/Other (Middle Eastern),100,NA,NA,NA,graduate degree,four year college,N,"very early on, she swipped, causing the Ipad to quit the program. So, I restarted it She was very attentive and did well.",3/22/18,3.16
180322_4,keep,NA,Y,N (sharing),3/22/14,4,M,N,White/Other (Iranian/Persian),75,Farsi/Persian,NA,NA,graduate degree,four year college,N,"very talkative. Kept asking me things like, ""Is this the truck (etc)?"" as if he was trying to test me instead of us testing him. I just told him to touch the target object each time and he listened.",3/22/18,4.00
180322_5,keep,NA,Y,Y,7/21/13,4,F,N,White,100,NA,NA,NA,some college,some college,N,very quiet and attentive,3/22/18,4.67
180322_6,keep,NA,Y,Y,1/27/14,4,F,N,Asian,75,Chinese,NA,NA,graduate degree,graduate degree,N,very quiet and attentive,3/22/18,4.15
180322_7,drop,parental interference,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very hyper and could not pay attention. Parent kept trying to help daughter to focus so she didn't have time to fill out a demographic form. ,3/22/18,NA
180323_1,keep,NA,Y,N (sharing),7/6/13,4,F,N,White,100,NA,NA,NA,graduate degree,four year college,N,paid close attention,3/23/18,4.72
180323_2,keep,NA,Y,N (sharing),5/20/14,3,M,N,White,100,NA,NA,NA,graduate degree,four year college,N,"hesitant at first, but then did great",3/23/18,3.84
180323_3,keep,NA,Y,Y,4/16/13,4,F,N,Other (British White),100,NA,NA,NA,graduate degree,graduate degree,N,very attentive and enjoyed the game a lot,3/23/18,4.94
180323_4,keep,NA,Y,Y,9/9/14,3,F,N,Other (British White),100,NA,NA,NA,graduate degree,graduate degree,N,attentive,3/23/18,3.54
180323_5,keep,NA,Y,Y,5/9/14,3,F,N,White,75,French,NA,NA,graduate degree,four year college,N,"attentive, enjoyed the game",3/23/18,3.87
180328_1,keep,NA,Y,Y,12/11/14,3,F,N,Asian,50,NA,NA,NA,four year college,some college,N,the brother was a little distracting but the participant paid close attention to the game,3/28/18,3.30
180328_2,keep,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the mom forgot to fill out a demographics form, but he told me he was four years old",3/28/18,NA
180328_3,keep,NA,Y,Y,10/5/15,2,M,N,Native Hawaiian or other Pacific Islander/White,100,NA,NA,NA,some college,some college,N,"paid attention well, except when distracted by the red car ""daddy's car!""",3/28/18,2.48
180328_4,keep,NA,Y,Y,5/21/15,2,F,Y,White,90-95,Spanish,NA,NA,four year college,some college,N,"a few times, I wasn't sure if she was paying super close attention because she answered quickly with some ""wrong"" answers. I couldn't tell though. ",3/28/18,2.85
180328_5,keep,NA,Y,Y,8/4/14,3,M,N,Other (Indian (India)),100,NA,NA,NA,NA,some college,Y,paid close attention,3/28/18,3.65
180329_1,keep,NA,Y,N (sharing),9/27/12,5,M,N,Other (Asian/Irish),100,Gaelic,NA,NA,graduate degree,graduate degree,N,"interested in the game, talkative",3/29/18,5.50
180329_2,drop,no demographic info,Y,N (sharing),NA,she told me she was 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,paid attention,3/29/18,NA
180330_1,keep,NA,Y,N (sharing),6/15/12 (I think this is the wrong bday because he told me he was 3),?,M,N,Black or African American/White,75,German,NA,NA,graduate degree,graduate degree,N,"a few times, he tried answering really quick, but overall paid attention",3/30/18,NA
180330_2b,keep,NA,Y,N (sharing),7/25/13,4,M,Y,NA,75,Spanish,NA,NA,graduate degree,graduate degree,N,"attentive, enjoyed the game",3/30/18,4.68
180330_4,keep,NA,Y,Y,6/30/15,2,F,N,Asian,75,Mandarin,NA,NA,graduate degree,four year college,N,"the game glitched and wouldn't work after restarting it 3 times. But, when I figured out the problem, they came back and did the game. (she was also labeled under 180330_3, 180330_3b, 180330_3c) she paid attention well.",3/30/18,2.75
180330_5b,keep,NA,Y,Y,8/6/15,2,F,N,Asian/White,90-95,Mandarin,NA,NA,graduate degree,graduate degree,N,"early in the game, the child exited out of the app accidentaly, so we restarted. She was really happy playing the game",3/30/18,2.65
180330_6,keep,NA,Y,Y,11/1/14,3,F,N,Asian/White,75,Mandarin,NA,NA,graduate degree,graduate degree,N,"enjoyed the game, liked taking note of the colors of the plate, house, table, etc. but paid close attention",3/30/18,3.41
180330_7,drop,parental interference,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"family intervened too much (parents and sister), and he lost interest quickly and wanted to stop playing the game. Also, it was really hectic and the parent didn't fill out the demographic form.",3/30/18,NA
180330_8,keep,NA,Y,Y,4/7/13,4,F,N,Asian,100,Cantonese,NA,NA,graduate degree,some college,Y,"a little bored with game, but she paid attention well",3/30/18,4.98
